CameraPanID	ClosestRoadWeatherStation	CameraName	Direction	Tie	Tieosa	Etäisyys	X	Y	Kunnan nimi
C0156700	1092	Tie 1 Sepänsolmu		1	5	550	6679148	3375197	Espoo
C0162300	1001	Tie 1 Lommila	Helsinkiin	1	5	5820	6680517	3370529	Espoo
C0152600	1051	Tie 1 Lommila		1	6	0	6681051	3369675	Espoo
C0152700	1043	Tie 1 Hista		1	7	0	6683896	3365435	Espoo
C0152800	1043	Tie 1 Veikkola		1	8	0	6687439	3359285	Kirkkonummi
C0152900	1043	Tie 1 Palojärvi		1	9	0	6689801	3354555	Vihti
C0153000	1043	Tie 1 Hevoskallio		1	10	1064	6691092	3349340	Lohja
C0153100	1065	Tie 1 Muijala		1	11	0	6691046	3346387	Lohja
C1651100	16011	Tie 1 Lempola	Lempola	1	11	6150	6689173	3340680	Lohja
C1651000	16011	Tie 1 Karnainen	Karnainen	1	13	0	6690519	3337942	Lohja
C1650900	16012	Tie 1 Orosmäki	Orosmäki	1	13	4250	6692813	3334498	Lohja
C1650800	16009	Tie 1 Tervakorpi	Tervakorpi	1	14	2810	6694586	3331107	Lohja
C1650700	16010	Tie 1 Nummi	Nummi	1	15	0	6696377	3329662	Lohja
C1650600	16008	Tie 1 Sammatti	Sammatti	1	16	0	6700684	3323982	Lohja
C0150401	1007	Tie 2 Karkkila	Forssaan	2	14	453	6717193	3348451	Karkkila
C0162501	1007	Tie 2 Salkola	Poriin	2	18	1565	6728679	3331325	Lohja
C0162502	1007	Tie 2 Salkola	Helsinkiin	2	18	1565	6728679	3331325	Lohja
C0162509	1007	Tie 2 Salkola	Tienpinta	2	18	1565	6728679	3331325	Lohja
C0153301	1041	Tie 3 Klaukkala	Tampereelle	3	103	7450	6695718	3379216	Vantaa
C0153302	1041	Tie 3 Klaukkala	Helsinkiin	3	103	7450	6695718	3379216	Vantaa
C0153303	1041	Tie 3 Klaukkala	Klaukkalaan	3	103	7450	6695718	3379216	Vantaa
C0153309	1041	Tie 3 Klaukkala	Tienpinta	3	103	7450	6695718	3379216	Vantaa
C0150901	1020	Tie 3 Hyvinkää	Tie 3 Tampereelle	3	108	0	6719266	3380558	Hyvinkää
C0150902	1020	Tie 3 Hyvinkää	Tie 3 Helsinkiin	3	108	0	6719266	3380558	Hyvinkää
C0150903	1020	Tie 3 Hyvinkää	Tie 25 Mäntsälään	3	108	0	6719266	3380558	Hyvinkää
C0150904	1020	Tie 3 Hyvinkää	Tie 25 Hankoon	3	108	0	6719266	3380558	Hyvinkää
C0150909	1020	Tie 3 Hyvinkää	Tie 3 Tienpinta	3	108	0	6719266	3380558	Hyvinkää
C0152301	1004	Tie 4 Tattarisuo	Lahteen	4	103	1574	6683330	3392776	Helsinki
C0152302	1004	Tie 4 Tattarisuo	Helsinkiin	4	103	1574	6683330	3392776	Helsinki
C0152309	1004	Tie 4 Tattarisuo	Tienpinta	4	103	1574	6683330	3392776	Helsinki
C0153201	1005	Tie 4 Korso	Lahteen	4	106	1790	6695823	3396111	Vantaa
C0153202	1005	Tie 4 Korso	Helsinkiin	4	106	1790	6695823	3396111	Vantaa
C0153209	1005	Tie 4 Korso	Tienpinta	4	106	1790	6695823	3396111	Vantaa
C0158301	1005	Tie 4 Järvenpää	Lahteen	4	108	3372	6709473	3397806	Järvenpää
C0158302	1005	Tie 4 Järvenpää	Helsinkiin	4	108	3372	6709473	3397806	Järvenpää
C0158309	1005	Tie 4 Järvenpää	Tienpinta	4	108	3372	6709473	3397806	Järvenpää
C0150801	1010	Tie 4 Mäntsälä	Tie 4 Lahteen	4	113	3850	6730164	3410032	Mäntsälä
C0150802	1010	Tie 4 Mäntsälä	Tie 4 Helsinkiin	4	113	3850	6730164	3410032	Mäntsälä
C0150803	1010	Tie 4 Mäntsälä	Tie 140 Lahteen	4	113	3850	6730164	3410032	Mäntsälä
C0150804	1010	Tie 4 Mäntsälä	Tie 140 Helsinkiin	4	113	3850	6730164	3410032	Mäntsälä
C0150809	1010	Tie 4 Mäntsälä	Tienpinta	4	113	3850	6730164	3410032	Mäntsälä
C0153701	1037	Tie 6 Koskenkylä	Tie 6 Kouvolaan	6	116	0	6709394	3442940	Loviisa
C0153703	1037	Tie 6 Koskenkylä	Tie 7 Kotkaan	6	116	0	6709394	3442940	Loviisa
C0153704	1037	Tie 6 Koskenkylä	Tie 7 Helsinkiin	6	116	0	6709394	3442940	Loviisa
C0153709	1037	Tie 6 Koskenkylä	Tie 7 Tienpinta	6	116	0	6709394	3442940	Loviisa
C0153801	1037	Tie 6 Lapinjärvi	Kouvolaan	6	121	0	6723376	3456330	Lapinjärvi
C0153802	1037	Tie 6 Lapinjärvi	Helsinkiin	6	121	0	6723376	3456330	Lapinjärvi
C0153803	1037	Tie 6 Lapinjärvi	Ylikulkusilta	6	121	0	6723376	3456330	Lapinjärvi
C0153809	1037	Tie 6 Lapinjärvi	Tienpinta	6	121	0	6723376	3456330	Lapinjärvi
C0164801	1108	Tie 7 Markkinamäki_Itä	Kotkaan	7	0	0	6708434	3472569	Kotka
C0164802	1108	Tie 7 Markkinamäki_Itä	Helsinkiin	7	0	0	6708434	3472569	Kotka
C0164900	1106	Tie 7 Ilola	Helsinkiin	7	0	0	6702889	3433349	
C0151401	1011	Tie 7 Box	Porvooseen	7	6	1250	6690391	3412355	Sipoo
C0151402	1011	Tie 7 Box	Helsinkiin	7	6	1250	6690391	3412355	Sipoo
C0151409	1011	Tie 7 Box	Tienpinta	7	6	1250	6690391	3412355	Sipoo
C0150201	1019	Tie 7 Porvoo	Tie 7 Kotkaan	7	9	0	6698489	3423878	Porvoo
C0150202	1019	Tie 7 Porvoo	Tie 7 Helsinkiin	7	9	0	6698489	3423878	Porvoo
C0150204	1019	Tie 7 Porvoo	Tie 55 Porvooseen	7	9	0	6698489	3423878	Porvoo
C0150209	1019	Tie 7 Porvoo	Tienpinta	7	9	0	6698489	3423878	Porvoo
C0162901	1006	Tie 7 Rita		7	11	0	6701548	3428832	
C0163001	1022	Tie 7 Vanhakylä		7	14	0	6708944	3439266	
C0163101	1006	Tie 7 Koskenkylä		7	15	0	6709398	3442947	
C0162801	1022	Tie 7 Loviisa_Länsi	Kotkaan	7	19	0	6705789	3455739	Kotka
C0162802	1022	Tie 7 Loviisa_Länsi	Helsinkiin	7	19	0	6705789	3455739	Kotka
C0163201	1022	Tie 7 Loviisa_Itä	Kotkaan	7	20	0	6707337	3459638	
C0163202	1022	Tie 7 Loviisa_Itä	Helsinkiin	7	20	0	6707337	3459638	
C0163209	1022	Tie 7 Loviisa_Itä	Tienpinta	7	20	0	6707337	3459638	
C0150701	1014	Tie 25 Hanko	Tammisaari	25	2	65	6643398	3276317	Hanko
C0162701	1014	Tie 25 Hanko, Santala	Hyvinkäälle	25	4	4095	6647445	3284575	Hanko
C0162702	1014	Tie 25 Hanko, Santala	Hankoon	25	4	4095	6647445	3284575	Hanko
C0162709	1014	Tie 25 Hanko, Santala	Tienpinta	25	4	4095	6647445	3284575	Hanko
C0162201	1053	Tie 25 Raasepori	Karjaalle	25	9	950	6657587	3301230	Raasepori
C0162202	1053	Tie 25 Raasepori	Hankoon	25	9	950	6657587	3301230	Raasepori
C0162209	1053	Tie 25 Raasepori	Tienpinta	25	9	950	6657587	3301230	Raasepori
C0150601	1025	Tie 25 Myllylampi	Tie 25 Hyvinkäälle	25	23	0	6692106	3347697	Vihti
C0150602	1025	Tie 25 Myllylampi	Tie 25 Hankoon	25	23	0	6692106	3347697	Vihti
C0150603	1025	Tie 25 Myllylampi	Tie 110 Turkuun	25	23	0	6692106	3347697	Vihti
C0150604	1025	Tie 25 Myllylampi	Tie 110 Helsinkiin	25	23	0	6692106	3347697	Vihti
C0150609	1025	Tie 25 Myllylampi	Tie 25 Tienpinta	25	23	0	6692106	3347697	Vihti
C0162401	1017	Tie 25 Haimoo	Hyvinkäälle	25	27	20	6706599	3363317	Vihti
C0162402	1017	Tie 25 Haimoo	Hankoon	25	27	20	6706599	3363317	Vihti
C0162409	1017	Tie 25 Haimoo	Tienpinta	25	27	20	6706599	3363317	Vihti
C0151101	1036	Tie 45 Veromies	Tuusulaan	45	3	80	6688132	3388525	Vantaa
C0151102	1036	Tie 45 Veromies	Helsinkiin	45	3	80	6688132	3388525	Vantaa
C0151104	1036	Tie 45 Veromies	Kehä III Länteen	45	3	80	6688132	3388525	Vantaa
C0158401	1078	Tie 50 Inkilä	Kehä III, itään	50	1	106	6672135	3363190	Espoo
C0158402	1078	Tie 50 Inkilä	Kehä III, silta	50	1	106	6672135	3363190	Espoo
C0158403	1078	Tie 50 Inkilä	Tie 51 Hankoon	50	1	106	6672135	3363190	Espoo
C0158404	1078	Tie 50 Inkilä	Tie 51 Helsinkiin	50	1	106	6672135	3363190	Espoo
C0158409	1078	Tie 50 Inkilä	Kehä III, tienpinta	50	1	106	6672135	3363190	Espoo
C0156800	1035	Tie 50 Bemböle		50	3	1364	6681416	3371030	Espoo
C0156900	1035	Tie 50 Järvenperä		50	3	3969	6683317	3372660	Espoo
C0157000	1035	Tie 50 Kulloonmäki		50	4	1578	6685579	3374687	Espoo
C0157100	1035	Tie 50 Juvanmalmi		50	4	3285	6686146	3376296	Espoo
C0157200	1035	Tie 50 Vihdintie		50	4	5880	6686753	3378706	Vantaa
C0157300	1035	Tie 50 Martinlaakso		50	5	2275	6688220	3380421	Vantaa
C0157400	1035	Tie 50 Hämeenlinnanväylä		50	5	3717	6688702	3381696	Vantaa
C0157500	1084	Tie 50 Tuupakka		50	6	1613	6689259	3383150	Vantaa
C0157600	1084	Tie 50 Kalliosola		50	6	3406	6689115	3384938	Vantaa
C0157700	1084	Tie 50 Lentoasema		50	6	5847	6688798	3387337	Vantaa
C0157800	1084	Tie 50 Tuusulanväylä		50	6	7229	6687980	3388467	Vantaa
C0157900	1084	Tie 50 Suutarila		50	7	1862	6687695	3390316	Helsinki
C0158000	1084	Tie 50 Tikkurila		50	7	2756	6687345	3391133	Helsinki
C0158100	1073	Tie 50 Lahdenväylä		50	7	6146	6686291	3394327	Vantaa
C0158200	1073	Tie 50 Porvoonväylä		50	8	2924	6684352	3396392	Vantaa
C0152000	1045	Tie 51 Ruoholahti		51	2	0	6674469	3382603	Helsinki
C0151800	1045	Tie 51 Lauttasaari		51	2	950	6674270	3381320	Helsinki
C0151900	1045	Tie 51 Espoo, Karhusaari		51	3	0	6675060	3379340	Espoo
C0155800	1047	Tie 51 Suvisilta		51	3	1000	6675135	3378673	Espoo
C0152401	1051	Tie 51 Jorvas	Inkooseen	51	8	1480	6671687	3361869	Kirkkonummi
C0152402	1051	Tie 51 Jorvas	Helsinkiin	51	8	1480	6671687	3361869	Kirkkonummi
C0152403	1051	Tie 51 Jorvas	Tie 11277 Långvikiin	51	8	1480	6671687	3361869	Kirkkonummi
C0152404	1051	Tie 51 Jorvas	Tie 11277 Jorvakseen	51	8	1480	6671687	3361869	Kirkkonummi
C0152409	1051	Tie 51 Jorvas	Tienpinta	51	8	1480	6671687	3361869	Kirkkonummi
C0150301	1013	Tie 51 Inkoo	Inkooseen	51	14	422	6663994	3332865	Inkoo
C0150302	1013	Tie 51 Inkoo	Hankoon	51	14	422	6663994	3332865	Inkoo
C0150309	1013	Tie 51 Inkoo	Tienpinta	51	14	422	6663994	3332865	Inkoo
C0150501	2018	Tie 52 Tenhola	Perniöön	52	2	5379	6666847	3294347	Raasepori
C0152201	1034	Tie 101 Kalevalantie	Itään	101	2	1600	6677045	3378597	Espoo
