EA_TUNNUS	LAHIN_TSA	NIMI_FI	EANIMI_FI	TIE	TIEOSA	ETAISYYS	X	Y	KUNNAN_NIMI
C0156700	1092	Tie 1 Sepänsolmu		1	5	550	6676328	375082	Espoo
C0162300	1001	Tie 1 Lommila	Helsinkiin	1	5	5820	6677697	370416	Espoo
C0152600	1051	Tie 1 Lommila		1	6	0	6678232	369564	Espoo
C0152700	1043	Tie 1 Hista		1	7	0	6681074	365324	Espoo
C0152800	1043	Tie 1 Veikkola		1	8	0	6684616	359177	Kirkkonummi
C0152900	1043	Tie 1 Palojärvi		1	9	0	6686977	354449	Vihti
C0153000	1043	Tie 1 Hevoskallio		1	10	1064	6688267	349236	Lohja
C0153100	1065	Tie 1 Muijala		1	11	0	6688221	346283	Lohja
C1651100	16011	Tie 1 Lempola	Lempola	1	11	6150	6686349	340578	Lohja
C1651000	16011	Tie 1 Karnainen	Karnainen	1	13	0	6687696	337840	Lohja
C1650900	16012	Tie 1 Orosmäki	Orosmäki	1	13	4250	6689989	334399	Lohja
C1650800	16009	Tie 1 Tervakorpi	Tervakorpi	1	14	2810	6691761	331008	Lohja
C1650700	16010	Tie 1 Nummi	Nummi	1	15	0	6693550	329565	Lohja
C1650600	16008	Tie 1 Sammatti	Sammatti	1	16	0	6697855	323886	Lohja
C1650500	16007	Tie 1 Lahnajärvi	Lahnajärvi	1	18	0	6697260	318480	Salo
C1650400	16006	Tie 1 Suomusjärvi	Suomusjärvi	1	20	0	6699649	311817	Salo
C1650300	16004	Tie 1 Salo, Kruusila	Kruusila	1	20	7760	6699207	304405	Salo
C1650200	16001	Tie 1 Hepomäki	Hepomäki	1	21	5105	6698491	299362	Salo
C1650100	16001	Tie 1 Muurla	Muurla	1	21	7280	6699303	297184	Salo
C0254000	2055	Tie 1 Pappila		1	24	1701	6704208	287222	Salo
C0254100	2055	Tie 1 Isokylä		1	25	2	6704181	288442	Salo
C0253900	2047	Tie 1 Halikko		1	26	38	6705471	282419	Salo
C0253800	2045	Tie 1 Hajala		1	26	6735	6706508	275911	Halikko
C0253700	2041	Tie 1 Vista		1	29	21	6706690	264653	Paimio
C0253600	2041	Tie 1 Valkoja		1	29	2927	6706527	261808	Paimio
C0253500	2039	Tie 1 Tammisilta		1	31	438	6708784	257659	Paimio
C0253400	2037	Tie 1 Kirismäki		1	32	24	6709256	251987	Piikkiö
C0253300	2037	Tie 1 Raadelma		1	33	11	6707933	249372	Piikkiö
C0253200	2037	Tie 1 Väntsi		1	34	13	6707516	245722	Kaarina
C0253100	2037	Tie 1 Kurkela		1	34	1727	6707462	244021	Kaarina
C0253000	2035	Tie 1 Huhkola		1	35	1459	6708315	242864	Turku
C0252900	2035	Tie 1 Jaani		1	36	35	6709283	242489	Turku
C0150401	1007	Tie 2 Karkkila	Forssaan	2	14	453	6714360	348346	Karkkila
C0162501	1007	Tie 2 Salkola	Poriin	2	18	1565	6725841	331226	Lohja
C0162502	1007	Tie 2 Salkola	Helsinkiin	2	18	1565	6725841	331226	Lohja
C0162509	1007	Tie 2 Salkola	Tienpinta	2	18	1565	6725841	331226	Lohja
C0450301	4003	Tie 2 Forssa	Tie 2 Poriin	2	23	6754	6748161	314328	Forssa
C0450302	4003	Tie 2 Forssa	Tie 2 Helsinkiin	2	23	6754	6748161	314328	Forssa
C0450303	4003	Tie 2 Forssa	Tie 10 Hämeenlinnaan	2	23	6754	6748161	314328	Forssa
C0450304	4003	Tie 2 Forssa	Tie 2 Turkuun	2	23	6754	6748161	314328	Forssa
C0450309	4003	Tie 2 Forssa	Tie 2 Tienpinta	2	23	6754	6748161	314328	Forssa
C0250601	4003	Tie 2 Leppijärvi	Poriin	2	30	4646	6769340	289900	Loimaa
C0251902	2006	Tie 2 Harjavalta	Huittisiin	2	43	1790	6806538	239343	Harjavalta
C0252301	2020	Tie 2 Honkaluoto	Tie 2 Poriin	2	46	6136	6823623	224702	Pori
